id1,id2,LM0,LM1,LM2,LM3,LM4,LM5,LM6,LM7,LM8,LM9,LM10,LM11,LM12,LM13,LM14,LM15,LM16,LM17,LM18,LM19,LM20,LM21,LM22,LM23,LM24,LM25,LM26,LM27,LM28,LM29,LM30,LM31,LM32,LM33,LM34,LM35,LM36,LM37,LM38,LM39
BB00096SALM02.jpg,BB00096SALM02.jpg,3.744,2.976,5.039,4.66,4.522,1.263,2.832,1.715,1.55,0.639,0.464,1.681,2.217,6.145,0.972,2.132,0.0,0.598,0.881,1.18,1.495,1.406,1.219,3.785,2.583,0.331,2.498,4.712,3.283,1.518,1.368,2.269,4.744,2.986,1.446,4.712,5.215,2.192,4.712,2.07
BB00096SALM08.jpg,BB00096SALM08.jpg,0.785,5.648,4.249,5.247,4.784,3.142,3.142,1.46,1.46,1.429,0.207,5.034,1.571,5.407,1.03,4.383,2.918,0.512,4.803,1.713,0.111,4.41,2.356,3.339,0.57,0.695,0.405,2.678,2.447,4.104,2.897,0.081,4.524,4.515,5.622,4.823,5.663,4.364,5.253,3.682
BB00096SALM19.jpg,BB00096SALM19.jpg,4.354,5.467,4.588,4.286,5.212,3.241,4.397,1.879,1.434,0.903,5.103,5.3,0.983,4.225,1.249,0.97,1.571,1.713,4.712,0.611,1.046,0.435,2.476,0.661,5.628,0.785,0.399,0.499,4.773,1.726,2.954,3.114,1.284,2.614,2.297,1.438,1.571,2.678,4.332,3.142
BB00096SALM46.jpg,BB00096SALM46.jpg,1.571,5.176,4.249,0.54,4.892,4.622,3.816,1.012,1.292,1.222,0.165,4.724,1.996,0.552,1.429,0.266,4.885,2.159,2.85,0.876,0.96,0.857,3.628,2.074,5.076,4.402,6.09,1.488,1.571,0.0,2.074,1.321,1.362,0.571,2.513,1.515,6.173,1.515,2.944,1.107
BB00096SALM51.jpg,BB00096SALM51.jpg,2.531,2.356,4.249,0.366,5.001,0.227,2.856,1.651,0.444,0.712,5.498,0.983,1.707,0.31,1.257,2.297,3.142,4.823,1.107,2.016,4.666,1.462,1.523,0.748,2.944,5.261,0.748,5.139,3.546,4.286,1.796,2.104,0.0,1.19,3.387,4.712,4.391,6.118,4.196,3.058
BW00292SALM28.jpg,BW00292SALM28.jpg,3.927,5.498,4.051,0.588,2.409,5.961,3.42,0.675,4.712,3.605,0.391,5.82,1.938,0.117,1.212,4.867,4.804,1.6,1.571,2.173,1.862,1.184,5.743,0.266,3.778,5.903,0.785,6.086,4.529,0.048,2.799,0.03,1.402,2.273,1.19,1.383,1.148,3.142,4.617,2.82
CB00058CAMB27.jpg,CB00058CAMB27.jpg,0.714,5.296,0.38,3.56,4.655,3.833,1.816,1.504,2.018,3.21,1.515,1.966,5.392,3.0,4.146,1.471,0.864,0.785,4.751,2.622,1.086,4.345,3.321,3.142,5.581,0.848,2.034,4.249,1.227,2.356,4.455,0.322,3.142,4.249,1.67,1.768,2.078,2.601,0.322,2.774
CB00706SALM03.jpg,CB00706SALM03.jpg,5.672,5.093,1.571,0.983,4.712,4.712,2.989,1.182,2.253,3.961,4.837,4.401,5.498,3.478,0.111,2.103,2.356,0.785,4.913,5.82,1.107,5.071,2.159,0.197,2.976,1.043,1.02,1.495,5.062,1.766,4.29,5.871,1.373,0.291,4.845,2.521,4.494,0.568,5.695,2.224
CC00144SALM23.jpg,CC00144SALM23.jpg,3.142,5.538,5.091,4.983,5.055,0.559,3.321,1.316,1.571,1.488,2.917,5.064,1.695,3.463,1.081,5.743,0.903,2.625,3.271,0.656,1.571,1.457,0.215,0.0,1.571,5.407,0.611,4.743,3.546,1.471,2.227,5.284,4.543,0.0,0.446,1.571,4.901,3.142,3.142,3.225
CC00144SALM70.jpg,CC00144SALM70.jpg,3.263,2.219,2.447,3.055,2.313,1.93,1.396,5.194,1.716,1.842,4.83,1.166,1.893,6.246,1.31,5.0,4.284,2.413,5.743,0.464,3.77,2.356,2.737,2.648,2.839,2.111,5.762,2.034,4.426,4.729,1.756,3.808,1.133,4.803,1.989,4.817,4.842,2.82,4.725,1.681
EC00126CAMB06.jpg,EC00126CAMB06.jpg,4.712,2.82,4.172,4.979,4.712,5.961,2.467,1.93,0.644,0.852,1.337,0.588,1.834,1.107,1.135,1.446,3.289,1.387,3.433,0.912,6.167,1.695,2.93,0.62,3.895,1.612,0.453,5.557,2.572,1.46,1.654,5.919,5.3,4.102,2.433,1.571,1.265,0.165,4.68,3.752
EC00126CAMB31.jpg,EC00126CAMB31.jpg,6.103,4.712,1.476,4.332,5.117,2.976,3.276,4.796,5.722,0.588,5.018,1.544,5.034,5.011,0.852,3.142,0.452,1.96,1.311,1.816,1.768,1.257,5.163,0.695,4.146,5.708,2.491,2.82,4.538,2.962,2.783,0.359,4.387,1.396,2.521,0.876,1.204,0.588,5.212,1.571
FR00803SALM12.jpg,FR00803SALM12.jpg,4.391,5.387,2.356,6.224,4.712,3.661,0.588,4.712,2.587,2.771,4.985,4.76,1.768,5.962,0.91,3.339,1.207,0.882,5.345,5.176,0.629,0.588,4.712,5.498,5.82,1.736,5.034,0.302,5.594,5.3,2.111,2.882,5.176,6.086,1.789,5.356,1.706,2.186,3.811,1.614
FW00241SALM07.jpg,FW00241SALM07.jpg,1.446,2.315,0.965,2.727,4.878,2.266,1.107,2.678,1.48,2.269,5.212,4.249,5.373,5.206,0.785,0.0,5.743,5.034,0.785,1.23,1.651,4.712,3.433,3.522,0.785,1.107,5.271,4.486,0.1,1.713,1.326,2.634,2.944,1.789,6.017,4.41,4.547,0.367,0.852,0.349
