id,box_id,box_top,box_left,box_width,box_height,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4,X5,Y5,X6,Y6,X7,Y7,X8,Y8,X9,Y9,X10,Y10,X11,Y11
63001.jpg,1_1_630_478,1.0,1.0,630.0,478.0,290.0,108.0,100.0,179.0,73.0,229.0,158.0,320.0,476.0,310.0,572.0,301.0,352.0,169.0,345.0,211.0,445.0,242.0,441.0,257.0,510.0,269.0,534.0,230.0
63002.jpg,1_1_630_478,1.0,1.0,630.0,478.0,284.0,76.0,55.0,156.0,24.0,210.0,120.0,313.0,487.0,323.0,602.0,324.0,353.0,157.0,343.0,203.0,454.0,246.0,447.0,261.0,529.0,279.0,560.0,238.0
63003.jpg,1_1_630_478,1.0,1.0,630.0,478.0,278.0,64.0,51.0,159.0,30.0,208.0,124.0,308.0,494.0,301.0,608.0,297.0,351.0,138.0,348.0,188.0,457.0,225.0,452.0,244.0,539.0,258.0,560.0,211.0
63004.jpg,1_1_630_478,1.0,1.0,630.0,478.0,283.0,152.0,68.0,236.0,46.0,284.0,136.0,387.0,488.0,392.0,597.0,393.0,356.0,229.0,344.0,276.0,453.0,316.0,448.0,332.0,534.0,348.0,558.0,311.0
63005.jpg,1_1_630_478,1.0,1.0,630.0,478.0,269.0,123.0,59.0,216.0,36.0,268.0,129.0,365.0,481.0,353.0,601.0,346.0,334.0,193.0,320.0,242.0,435.0,276.0,432.0,294.0,520.0,304.0,549.0,263.0
63006.jpg,1_1_630_478,1.0,1.0,630.0,478.0,246.0,129.0,37.0,219.0,19.0,270.0,107.0,363.0,460.0,357.0,574.0,350.0,316.0,196.0,310.0,246.0,424.0,281.0,417.0,296.0,506.0,308.0,530.0,266.0
63007.jpg,1_1_630_478,1.0,1.0,630.0,478.0,257.0,107.0,46.0,194.0,23.0,243.0,112.0,339.0,464.0,336.0,582.0,335.0,325.0,177.0,319.0,226.0,428.0,261.0,426.0,278.0,514.0,291.0,535.0,250.0
63008.jpg,1_1_630_478,1.0,1.0,630.0,478.0,275.0,126.0,94.0,204.0,73.0,250.0,157.0,342.0,468.0,330.0,563.0,324.0,332.0,191.0,326.0,232.0,431.0,264.0,428.0,279.0,502.0,288.0,523.0,251.0
63009.jpg,1_1_630_478,1.0,1.0,630.0,478.0,276.0,114.0,94.0,187.0,73.0,235.0,154.0,322.0,461.0,316.0,566.0,308.0,342.0,180.0,334.0,219.0,434.0,249.0,430.0,263.0,495.0,275.0,517.0,238.0
63010.jpg,1_1_630_478,1.0,1.0,630.0,478.0,282.0,130.0,106.0,219.0,87.0,268.0,177.0,356.0,484.0,321.0,585.0,307.0,349.0,192.0,346.0,231.0,445.0,256.0,441.0,271.0,519.0,277.0,537.0,234.0
